model_a,model_b,mean_loss_diff_a_minus_b,DM_stat,p_value,n
EWMA(0.94),GARCH11_h1,0.013491352944210035,1.944217744802487,0.051869198822070306,250
EWMA(0.94),EGARCH11_h1,0.003875727397395767,0.5747930939129947,0.5654312379559809,250
EWMA(0.94),GJR11_h1,-0.05805082472732277,-3.734399027336111,0.00018816396297394178,250
EWMA(0.94),HAR_RV_h1,0.036288177516561576,25.692832159434875,0.0,3838
GARCH11_h1,EGARCH11_h1,-0.009615625546814268,-4.217177585618702,2.4737915382377906e-05,250
GARCH11_h1,GJR11_h1,-0.07154217767153281,-5.670302490090911,1.4254561531146237e-08,250
GARCH11_h1,HAR_RV_h1,0.04289088155355657,8.158679826024533,4.440892098500626e-16,250
EGARCH11_h1,GJR11_h1,-0.061926552124718544,-4.603506696274797,4.154358326458052e-06,250
EGARCH11_h1,HAR_RV_h1,0.05250650710037084,9.421689419104252,0.0,250
GJR11_h1,HAR_RV_h1,0.11443305922508938,8.440278003592251,0.0,250
